,pattern,batch-size,algo,bs_position,precision,device_name,mean,median,iqr,times
10,"[[1, 1024, 4096, 1]]",25088,nn_linear,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0153862921986728,0.0153862921986728,8.659399463794779e-06,"[0.015394951598136686, 0.015377632799209095]"
15,"[[16, 256, 256, 1], [1, 64, 256, 16]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0076648789801402,0.0076648789801402,0.0,[0.007664878980140202]
11,"[[16, 256, 256, 1], [1, 64, 256, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0090094868297455,0.0090094868297455,0.0,[0.009009486829745584]
18,"[[16, 64, 256, 1], [1, 1024, 1024, 1]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.005202445280156,0.005202445280156,0.0,[0.005202445280156098]
2,"[[16, 64, 256, 1], [1, 1024, 1024, 1]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0107600800489308,0.0107600800489308,1.0905350791290402e-05,"[0.010770985399722122, 0.010749174698139541]"
14,"[[16, 64, 256, 1], [1, 128, 128, 8]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0024246520399174,0.0024246520399174,2.442879922454847e-06,"[0.0024222091599949637, 0.002427094919839874]"
16,"[[16, 64, 256, 1], [1, 128, 128, 8]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0031351110499235,0.0031351110499235,0.0,[0.0031351110499235803]
20,"[[16, 64, 256, 1], [1, 256, 256, 4]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0029262417799327,0.0029262417799327,0.0,[0.002926241779932752]
17,"[[16, 64, 256, 1], [1, 256, 256, 4]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0034984559001168,0.0034984559001168,0.0,[0.0034984559001168237]
7,"[[16, 64, 256, 1], [1, 512, 512, 2]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0038897260700468,0.0038897260700468,0.0,[0.0038897260700468906]
12,"[[16, 64, 256, 1], [1, 512, 512, 2]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0044815114699304,0.0044815114699304,0.0,[0.00448151146993041]
5,"[[16, 64, 256, 1], [1, 64, 64, 16]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0022224985850334,0.0022224985850334,1.565484999446233e-06,"[0.002220933100034017, 0.0022240640700329096]"
1,"[[16, 64, 256, 1], [1, 64, 64, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.00297042279999,0.00297042279999,0.0,[0.0029704227999900468]
9,"[[32, 128, 128, 1], [1, 64, 256, 16]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0055852146999677,0.0055852146999677,0.0,[0.005585214699967764]
3,"[[32, 128, 128, 1], [1, 64, 256, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0065021613199496,0.0065021613199496,0.0,[0.006502161319949664]
0,"[[64, 64, 64, 1], [1, 128, 512, 8]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0054143425400252,0.0054143425400252,0.0,[0.005414342540025246]
19,"[[64, 64, 64, 1], [1, 128, 512, 8]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0069990976198459,0.0069990976198459,0.0,[0.006999097619845998]
13,"[[64, 64, 64, 1], [1, 64, 256, 16]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0046627468900987,0.0046627468900987,0.0,[0.004662746890098788]
6,"[[64, 64, 64, 1], [1, 64, 256, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0055963468900881,0.0055963468900881,0.0,[0.005596346890088171]
4,"[[8, 512, 512, 1], [1, 64, 256, 16]]",25088,bmm,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0118196064399671,0.0118196064399671,0.0,[0.011819606439967174]
8,"[[8, 512, 512, 1], [1, 64, 256, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-32GB,0.0233235775493085,0.0233235775493085,1.5483552124353345e-05,"[0.02333906110143289, 0.023308093997184188]"
