,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,hidden_dim,ratio_rewritings_multiplication,ratio_nnz_mn
130925,1,2,1792,2048,7168,512,2,1,3670016,0.5012555803571429,0.25
92643,1,2,2016,2048,7168,576,2,1,4128768,0.5011160714285714,0.28125
151314,1,2,2240,2048,7168,640,2,1,4587520,0.5010044642857143,0.3125
18094,1,2,2464,2048,7168,704,2,1,5046272,0.5009131493506493,0.34375
178372,1,2,2688,2048,7168,768,2,1,5505024,0.5008370535714286,0.375
5985,1,2,2912,2048,7168,832,2,1,5963776,0.5007726648351648,0.40625
85128,1,2,3136,2048,7168,896,2,1,6422528,0.5007174744897959,0.4375
180244,1,2,3360,2048,7168,960,2,1,6881280,0.5006696428571429,0.46875
86546,1,2,3584,2048,7168,1024,2,1,7340032,0.5006277901785714,0.5
81628,1,2,3808,2048,7168,1088,2,1,7798784,0.5005908613445378,0.53125
66134,1,2,4032,2048,7168,1152,2,1,8257536,0.5005580357142857,0.5625
192009,1,2,4256,2048,7168,1216,2,1,8716288,0.5005286654135338,0.59375
192358,1,2,4480,2048,7168,1280,2,1,9175040,0.5005022321428572,0.625
86421,1,2,4704,2048,7168,1344,2,1,9633792,0.5004783163265306,0.65625
59700,1,2,4928,2048,7168,1408,2,1,10092544,0.5004565746753247,0.6875
146232,1,2,5152,2048,7168,1472,2,1,10551296,0.5004367236024845,0.71875
8897,1,2,5376,2048,7168,1536,2,1,11010048,0.5004185267857143,0.75
140769,1,2,5600,2048,7168,1600,2,1,11468800,0.5004017857142857,0.78125
81779,1,2,5824,2048,7168,1664,2,1,11927552,0.5003863324175825,0.8125
111784,1,2,6048,2048,7168,1728,2,1,12386304,0.5003720238095238,0.84375
121145,1,2,6272,2048,7168,1792,2,1,12845056,0.500358737244898,0.875
109133,1,2,6496,2048,7168,1856,2,1,13303808,0.5003463669950738,0.90625
106043,1,2,6720,2048,7168,1920,2,1,13762560,0.5003348214285714,0.9375
13713,1,2,6944,2048,7168,1984,2,1,14221312,0.5003240207373272,0.96875
148146,1,4,2464,1024,7168,352,2,1,2523136,0.3345508658008658,0.2578125
73803,1,2,1344,2048,3584,768,4,1,2752512,0.33444940476190477,0.28125
168777,1,4,2688,1024,7168,384,2,1,2752512,0.33444940476190477,0.28125
110120,1,4,2912,1024,7168,416,2,1,2981888,0.3343635531135531,0.3046875
1361,1,4,3136,1024,7168,448,2,1,3211264,0.33428996598639454,0.328125
13744,1,2,1568,2048,3584,896,4,1,3211264,0.33428996598639454,0.328125
152833,1,4,3360,1024,7168,480,2,1,3440640,0.33422619047619045,0.3515625
122881,1,4,3584,1024,7168,512,2,1,3670016,0.3341703869047619,0.375
79942,1,2,1792,2048,3584,1024,4,1,3670016,0.3341703869047619,0.375
64666,1,4,3808,1024,7168,544,2,1,3899392,0.33412114845938373,0.3984375
156884,1,2,2016,2048,3584,1152,4,1,4128768,0.33407738095238093,0.421875
43247,1,4,4032,1024,7168,576,2,1,4128768,0.33407738095238093,0.421875
53609,1,4,4256,1024,7168,608,2,1,4358144,0.33403822055137844,0.4453125
115733,1,4,4480,1024,7168,640,2,1,4587520,0.3340029761904762,0.46875
173717,1,2,2240,2048,3584,1280,4,1,4587520,0.3340029761904762,0.46875
124795,1,4,4704,1024,7168,672,2,1,4816896,0.33397108843537415,0.4921875
153831,1,2,2464,2048,3584,1408,4,1,5046272,0.3339420995670996,0.515625
112023,1,4,4928,1024,7168,704,2,1,5046272,0.3339420995670996,0.515625
117933,1,4,5152,1024,7168,736,2,1,5275648,0.3339156314699793,0.5390625
142523,1,4,5376,1024,7168,768,2,1,5505024,0.33389136904761907,0.5625
111578,1,2,2688,2048,3584,1536,4,1,5505024,0.33389136904761907,0.5625
39797,1,4,5600,1024,7168,800,2,1,5734400,0.3338690476190476,0.5859375
110773,1,4,5824,1024,7168,832,2,1,5963776,0.3338484432234432,0.609375
102652,1,2,2912,2048,3584,1664,4,1,5963776,0.3338484432234432,0.609375
4277,1,4,6048,1024,7168,864,2,1,6193152,0.33382936507936506,0.6328125
91412,1,2,3136,2048,3584,1792,4,1,6422528,0.33381164965986393,0.65625
165008,1,4,6272,1024,7168,896,2,1,6422528,0.33381164965986393,0.65625
181741,1,4,6496,1024,7168,928,2,1,6651904,0.33379515599343185,0.6796875
86309,1,2,3360,2048,3584,1920,4,1,6881280,0.3337797619047619,0.703125
2609,1,4,6720,1024,7168,960,2,1,6881280,0.3337797619047619,0.703125
76445,1,4,6944,1024,7168,992,2,1,7110656,0.33376536098310294,0.7265625
41298,1,2,3584,2048,3584,2048,4,1,7340032,0.3337518601190476,0.75
